ProductName	Price	Quantity	CustomerName
Gorgonzola Telino 	12.5 	25 	Hungry Owl All-Night Grocers 
Mascarpone Fabioli 	32 	6 	Hungry Owl All-Night Grocers 
Manjimup Dried Apples 	53 	48 	Hungry Owl All-Night Grocers 
Chef Anton's Cajun Seasoning 	22 	18 	Princesa Isabel Vinhoss 
Tunnbröd 	9 	40 	Frankenversand 
Gumbär Gummibärchen 	31.23 	24 	Frankenversand 
Inlagd Sill 	19 	20 	Frankenversand 
Gravad lax 	26 	28 	Frankenversand 
Mozzarella di Giovanni 	34.8 	25 	Frankenversand 
Alice Mutton 	39 	20 	Old World Delicatessen 
Nord-Ost Matjeshering 	25.89 	15 	Old World Delicatessen 
Chef Anton's Cajun Seasoning 	22 	10 	Mère Paillarde 
Alice Mutton 	39 	70 	Mère Paillarde 
Tarte au sucre 	49.3 	28 	Mère Paillarde 
Carnarvon Tigers 	62.5 	20 	Bon app' 
Jack's New England Clam Chowder 	9.65 	12 	Bon app' 
Ipoh Coffee 	46 	40 	Bon app' 
Geitost 	2.5 	8 	Simons bistro 
Raclette Courdavault 	55 	9 	Simons bistro 
Chang 	19 	24 	Frankenversand 
Gorgonzola Telino 	12.5 	56 	Frankenversand 
Inlagd Sill 	19 	40 	Frankenversand 
Pâté chinois 	24 	40 	Frankenversand 
Wimmers gute Semmelknödel 	33.25 	50 	Lehmanns Marktstand 
Scottish Longbreads 	12.5 	4 	Lehmanns Marktstand 
Lakkalikööri 	18 	15 	Lehmanns Marktstand 
Chef Anton's Cajun Seasoning 	22 	35 	White Clover Markets 
Northwoods Cranberry Sauce 	40 	70 	White Clover Markets 
Northwoods Cranberry Sauce 	40 	70 	QUICK-Stop 
Teatime Chocolate Biscuits 	9.2 	80 	QUICK-Stop 
Singaporean Hokkien Fried Mee 	14 	9 	QUICK-Stop 
Alice Mutton 	39 	36 	Rattlesnake Canyon Grocery 
Gnocchi di nonna Alice 	38 	20 	Rattlesnake Canyon Grocery 
NuNuCa Nuß-Nougat-Creme 	14 	10 	Familia Arquibaldo 
Chartreuse verte 	18 	50 	Familia Arquibaldo 
Boston Crab Meat 	18.4 	4 	Familia Arquibaldo 
Rhönbräu Klosterbier 	7.75 	6 	Familia Arquibaldo 
Chais 	18 	15 	Die Wandernde Kuh 
Tunnbröd 	9 	25 	Die Wandernde Kuh 
Tourtière 	7.45 	24 	Split Rail Beer & Ale 
Valkoinen suklaa 	16.25 	15 	La maison d'Asie 
Gudbrandsdalsost 	36 	18 	La maison d'Asie 
Côte de Blaye 	263.5 	20 	Ernst Handel 
Jack's New England Clam Chowder 	9.65 	13 	Ernst Handel 
Gula Malacca 	19.45 	77 	Ernst Handel 
Louisiana Fiery Hot Pepper Sauce 	21.05 	10 	Ernst Handel 
Guaraná Fantástica 	4.5 	10 	Furia Bacalhau e Frutos do Mar 
Tourtière 	7.45 	20 	Furia Bacalhau e Frutos do Mar 
Queso Cabrales 	21 	12 	Piccolo und mehr 
Côte de Blaye 	263.5 	50 	Piccolo und mehr 
Chais 	18 	12 	Pericles Comidas clásicas 
Thüringer Rostbratwurst 	123.79 	4 	Pericles Comidas clásicas 
Guaraná Fantástica 	4.5 	25 	Around the Horn 
Ravioli Angelo 	19.5 	25 	Around the Horn 
Gorgonzola Telino 	12.5 	30 	Die Wandernde Kuh 
Pâté chinois 	24 	12 	Die Wandernde Kuh 
Gudbrandsdalsost 	36 	20 	Die Wandernde Kuh 
Ikura 	31 	30 	LILA-Supermercado 
Gumbär Gummibärchen 	31.23 	16 	LILA-Supermercado 
Camembert Pierrot 	34 	8 	LILA-Supermercado 
Guaraná Fantástica 	4.5 	10 	La maison d'Asie 
Sasquatch Ale 	14 	10 	La maison d'Asie 
Inlagd Sill 	19 	20 	La maison d'Asie 
Pavlova 	17.45 	56 	Seven Seas Imports 
Gorgonzola Telino 	12.5 	70 	Seven Seas Imports 
Camembert Pierrot 	34 	80 	Seven Seas Imports 
Rössle Sauerkraut 	45.6 	30 	Blondel père et fils 
Thüringer Rostbratwurst 	123.79 	35 	Blondel père et fils 
Côte de Blaye 	263.5 	10 	Blondel père et fils 
Maxilaku 	20 	35 	Blondel père et fils 
Tourtière 	7.45 	28 	Blondel père et fils 
Chartreuse verte 	18 	54 	QUICK-Stop 
Camembert Pierrot 	34 	55 	QUICK-Stop 
NuNuCa Nuß-Nougat-Creme 	14 	50 	Bon app' 
Manjimup Dried Apples 	53 	20 	Bon app' 
Tourtière 	7.45 	24 	Bon app' 
Gorgonzola Telino 	12.5 	20 	Drachenblut Delikatessend 
Rhönbräu Klosterbier 	7.75 	12 	Drachenblut Delikatessend 
Lakkalikööri 	18 	12 	Drachenblut Delikatessend 
Gudbrandsdalsost 	36 	30 	Eastern Connection 
Fløtemysost 	21.5 	5 	Eastern Connection 
Queso Cabrales 	21 	24 	Antonio Moreno Taquería 
Louisiana Fiery Hot Pepper Sauce 	21.05 	5 	Galería del gastrónomo 
Original Frankfurter grüne Soße 	13 	5 	Galería del gastrónomo 
Sasquatch Ale 	14 	36 	Vaffeljernet 
Tourtière 	7.45 	18 	Vaffeljernet 
Louisiana Fiery Hot Pepper Sauce 	21.05 	15 	Vaffeljernet 
Original Frankfurter grüne Soße 	13 	7 	Vaffeljernet 
Sir Rodney's Scones 	10 	5 	Ernst Handel 
Rössle Sauerkraut 	45.6 	13 	Ernst Handel 
Ravioli Angelo 	19.5 	25 	Ernst Handel 
Wimmers gute Semmelknödel 	33.25 	35 	Ernst Handel 
Thüringer Rostbratwurst 	123.79 	20 	Split Rail Beer & Ale 
Gnocchi di nonna Alice 	38 	18 	Split Rail Beer & Ale 
Chais 	18 	15 	Chop-suey Chinese 
Wimmers gute Semmelknödel 	33.25 	30 	Chop-suey Chinese 
Longlife Tofu 	10 	20 	Chop-suey Chinese 
Inlagd Sill 	19 	6 	La maison d'Asie 
Sir Rodney's Marmalade 	81 	12 	Queen Cozinha 
Côte de Blaye 	263.5 	40 	Queen Cozinha 
Camembert Pierrot 	34 	70 	Queen Cozinha 
Mozzarella di Giovanni 	34.8 	42 	Queen Cozinha 
Escargots de Bourgogne 	13.25 	80 	Hungry Owl All-Night Grocers 
Fløtemysost 	21.5 	50 	Hungry Owl All-Night Grocers 
Gorgonzola Telino 	12.5 	30 	Wolski 
Escargots de Bourgogne 	13.25 	15 	Wolski 
Tofu 	23.25 	15 	Hungry Coyote Import Store 
Tourtière 	7.45 	10 	Hungry Coyote Import Store 
Gorgonzola Telino 	12.5 	42 	Mère Paillarde 
Rössle Sauerkraut 	45.6 	20 	Seven Seas Imports 
Chartreuse verte 	18 	20 	Seven Seas Imports 
Fløtemysost 	21.5 	6 	Folk och fä HB 
Jack's New England Clam Chowder 	9.65 	8 	Que Delícia 
Vegie-spread 	43.9 	16 	Que Delícia 
Louisiana Fiery Hot Pepper Sauce 	21.05 	20 	Que Delícia 
Nord-Ost Matjeshering 	25.89 	18 	Hungry Owl All-Night Grocers 
Perth Pasties 	32.8 	20 	Hungry Owl All-Night Grocers 
Camembert Pierrot 	34 	6 	Hungry Owl All-Night Grocers 
Outback Lager 	15 	30 	Hungry Owl All-Night Grocers 
Longlife Tofu 	10 	14 	LILA-Supermercado 
Chef Anton's Gumbo Mix 	21.35 	32 	Ernst Handel 
Carnarvon Tigers 	62.5 	9 	Ernst Handel 
Thüringer Rostbratwurst 	123.79 	14 	Ernst Handel 
Geitost 	2.5 	60 	Ernst Handel 
Longlife Tofu 	10 	50 	Ernst Handel 
Konbu 	6 	20 	Around the Horn 
Valkoinen suklaa 	16.25 	15 	Around the Horn 
Gnocchi di nonna Alice 	38 	20 	Around the Horn 
Sir Rodney's Marmalade 	81 	28 	Berglunds snabbköp 
Camembert Pierrot 	34 	15 	Berglunds snabbköp 
Uncle Bob's Organic Dried Pears 	30 	10 	Split Rail Beer & Ale 
Camembert Pierrot 	34 	20 	Split Rail Beer & Ale 
Scottish Longbreads 	12.5 	8 	Split Rail Beer & Ale 
Guaraná Fantástica 	4.5 	15 	Familia Arquibaldo 
Sasquatch Ale 	14 	10 	Familia Arquibaldo 
Guaraná Fantástica 	4.5 	15 	Santé Gourmet 
Rössle Sauerkraut 	45.6 	6 	Santé Gourmet 
Raclette Courdavault 	55 	12 	Santé Gourmet 
Fløtemysost 	21.5 	15 	Santé Gourmet 
Røgede sild 	9.5 	15 	Seven Seas Imports 
Filo Mix 	7 	20 	Seven Seas Imports 
Perth Pasties 	32.8 	40 	Seven Seas Imports 
Ikura 	31 	16 	Bottom-Dollar Marketse 
Pâté chinois 	24 	15 	Bottom-Dollar Marketse 
Tarte au sucre 	49.3 	20 	Bottom-Dollar Marketse 
Outback Lager 	15 	30 	Bottom-Dollar Marketse 
Gorgonzola Telino 	12.5 	60 	Ernst Handel 
Steeleye Stout 	18 	40 	Ernst Handel 
Spegesild 	12 	45 	Ernst Handel 
Mozzarella di Giovanni 	34.8 	24 	Ernst Handel 
Konbu 	6 	18 	Drachenblut Delikatessend 
Gudbrandsdalsost 	36 	50 	Piccolo und mehr 
Chang 	19 	25 	Save-a-lot Markets 
Tofu 	23.25 	42 	Save-a-lot Markets 
NuNuCa Nuß-Nougat-Creme 	14 	7 	Save-a-lot Markets 
Gumbär Gummibärchen 	31.23 	70 	Save-a-lot Markets 
Gorgonzola Telino 	12.5 	32 	Save-a-lot Markets 
Konbu 	6 	10 	Hungry Coyote Import Store 
Tarte au sucre 	49.3 	10 	Hungry Coyote Import Store 
Spegesild 	12 	28 	HILARIÓN-Abastos 
Perth Pasties 	32.8 	70 	HILARIÓN-Abastos 
Gudbrandsdalsost 	36 	8 	HILARIÓN-Abastos 
Tunnbröd 	9 	40 	Frankenversand 
Fløtemysost 	21.5 	60 	Frankenversand 
Mozzarella di Giovanni 	34.8 	21 	Frankenversand 
Sir Rodney's Scones 	10 	10 	Princesa Isabel Vinhoss 
Manjimup Dried Apples 	53 	18 	Princesa Isabel Vinhoss 
Steeleye Stout 	18 	30 	Save-a-lot Markets 
Pâté chinois 	24 	120 	Save-a-lot Markets 
Scottish Longbreads 	12.5 	60 	Vaffeljernet 
Fløtemysost 	21.5 	30 	Vaffeljernet 
Lakkalikööri 	18 	35 	Vaffeljernet 
Original Frankfurter grüne Soße 	13 	14 	Vaffeljernet 
Thüringer Rostbratwurst 	123.79 	21 	Eastern Connection 
Steeleye Stout 	18 	35 	Eastern Connection 
Maxilaku 	20 	30 	Eastern Connection 
Nord-Ost Matjeshering 	25.89 	18 	Rattlesnake Canyon Grocery 
Gnocchi di nonna Alice 	38 	70 	Rattlesnake Canyon Grocery 
Louisiana Fiery Hot Pepper Sauce 	21.05 	20 	Rattlesnake Canyon Grocery 
Fløtemysost 	21.5 	60 	Rattlesnake Canyon Grocery 
Tunnbröd 	9 	60 	Ernst Handel 
Vegie-spread 	43.9 	65 	Ernst Handel 
Pavlova 	17.45 	21 	Ernst Handel 
Chocolade 	12.75 	70 	Ernst Handel 
Gumbär Gummibärchen 	31.23 	30 	Magazzini Alimentari Riuniti 
Singaporean Hokkien Fried Mee 	14 	40 	Magazzini Alimentari Riuniti 
Maxilaku 	20 	30 	Magazzini Alimentari Riuniti 
Aniseed Syrup 	10 	50 	LINO-Delicateses 
Chais 	18 	10 	Queen Cozinha 
Sir Rodney's Scones 	10 	30 	Queen Cozinha 
Rössle Sauerkraut 	45.6 	42 	Queen Cozinha 
Inlagd Sill 	19 	5 	Queen Cozinha 
Boston Crab Meat 	18.4 	2 	Queen Cozinha 
Queso Cabrales 	21 	30 	Ottilies Käseladen 
Gudbrandsdalsost 	36 	15 	Ottilies Käseladen 
Fløtemysost 	21.5 	15 	Ottilies Käseladen 
Gravad lax 	26 	10 	Folies gourmandes 
Tourtière 	7.45 	6 	Folies gourmandes 
Tarte au sucre 	49.3 	35 	Folies gourmandes 
Tofu 	23.25 	12 	Océano Atlántico Ltda. 
Sir Rodney's Scones 	10 	12 	Océano Atlántico Ltda. 
Geitost 	2.5 	49 	Bottom-Dollar Marketse 
Raclette Courdavault 	55 	16 	Bottom-Dollar Marketse 
Jack's New England Clam Chowder 	9.65 	25 	Bottom-Dollar Marketse 
Gula Malacca 	19.45 	40 	Bottom-Dollar Marketse 
Raclette Courdavault 	55 	9 	Bottom-Dollar Marketse 
Tofu 	23.25 	20 	Wartian Herkku 
Chais 	18 	24 	La maison d'Asie 
Tarte au sucre 	49.3 	40 	La maison d'Asie 
Lakkalikööri 	18 	14 	La maison d'Asie 
Teatime Chocolate Biscuits 	9.2 	18 	Familia Arquibaldo 
Geitost 	2.5 	50 	Familia Arquibaldo 
Alice Mutton 	39 	2 	Hungry Coyote Import Store 
Geitost 	2.5 	20 	Hungry Coyote Import Store 
Teatime Chocolate Biscuits 	9.2 	20 	Wartian Herkku 
Perth Pasties 	32.8 	10 	Wartian Herkku 
Ravioli Angelo 	19.5 	20 	Wartian Herkku 
Côte de Blaye 	263.5 	50 	Simons bistro 
Spegesild 	12 	2 	Simons bistro 
Scottish Longbreads 	12.5 	36 	Simons bistro 
Original Frankfurter grüne Soße 	13 	35 	Simons bistro 
Chang 	19 	60 	QUICK-Stop 
Zaanse koeken 	9.5 	55 	QUICK-Stop 
Sirop d'érable 	28.5 	16 	QUICK-Stop 
Longlife Tofu 	10 	15 	QUICK-Stop 
Camembert Pierrot 	34 	60 	Richter Supermarkt 
Gudbrandsdalsost 	36 	20 	Richter Supermarkt 
Mishi Kobe Niku 	97 	20 	Wellington Importadora 
Konbu 	6 	2 	Wellington Importadora 
Outback Lager 	15 	8 	Wellington Importadora 
Röd Kaviar 	15 	20 	Wellington Importadora 
Teatime Chocolate Biscuits 	9.2 	4 	Que Delícia 
Gumbär Gummibärchen 	31.23 	30 	Que Delícia 
Perth Pasties 	32.8 	15 	Que Delícia 
